Date,Open,High,Low,Close,Volume
2017-09-13,70.8421,70.8421,70.6179,70.8421,1430.7456197449
2017-09-15,70.5891,70.5891,70.5891,70.5891,0
2017-09-18,70.8484,70.8484,70.8484,70.8484,0
2017-09-19,70.8484,70.8484,70.8484,70.8484,0
2017-09-20,70.0181,70.0181,70.0181,70.0181,0
2017-09-21,70.1953,70.1953,70.1953,70.1953,0
2017-09-22,70.6842,70.6842,70.6842,70.6842,0
2017-09-25,70.1284,70.1284,70.1284,70.1284,0
2017-09-26,69.4984,69.4984,69.4984,69.4984,0
2017-09-27,69.7211,69.7211,69.7211,69.7211,0
2017-09-28,69.8836,69.8836,69.8836,69.8836,0
2017-09-29,69.9072,69.9072,69.9072,69.9072,0
2017-10-02,70.6313,70.6313,70.6313,70.6313,0
2017-10-03,71.0356,71.0356,71.0356,71.0356,0
2017-10-04,70.4692,70.4692,70.4692,70.4692,0
2017-10-05,70.8421,70.8421,70.8421,70.8421,0
2017-10-06,71.4987,71.4987,71.4987,71.4987,0
2017-10-09,72.4898,72.4898,72.4898,72.4898,0
2017-10-10,72.4898,72.4898,72.4898,72.4898,0
2017-10-11,76.2899,76.2899,76.2899,76.2899,0
2017-10-12,76.6747,76.6747,76.6747,76.6747,0
2017-10-13,76.2247,76.2247,76.2247,76.2247,0
2017-10-16,76.469,76.469,76.469,76.469,0
2017-10-17,76.6709,76.6709,76.6709,76.6709,0
2017-10-18,76.8733,76.8733,76.8733,76.8733,0
2017-10-19,76.542,76.542,76.542,76.542,0
2017-10-20,75.8862,77.3364,75.8862,77.1193,3725.7374244488
2017-10-23,76.9283,76.9283,76.9283,76.9283,0
2017-10-24,77.384,77.384,77.384,77.384,0
2017-10-25,77.2903,77.2903,77.2903,77.2903,0
2017-10-26,79.142,79.142,79.142,79.142,0
2017-10-27,77.6519,77.6519,77.6519,77.6519,0
2017-10-30,78.6922,78.6922,78.6922,78.6922,0
2017-10-31,79.5268,79.5268,79.5268,79.5268,0
2017-11-01,80.6981,80.6981,80.6981,80.6981,0
2017-11-02,82.6729,82.6729,82.6729,82.6729,0
2017-11-03,82.7298,82.7298,82.7298,82.7298,0
2017-11-06,81.6813,81.6813,81.6813,81.6813,0
2017-11-07,79.8251,79.8251,79.8251,79.8251,0
2017-11-08,79.3482,79.3482,79.3482,79.3482,0
2017-11-09,78.4644,78.4644,78.4644,78.4644,0
2017-11-10,78.4644,78.4644,78.4644,78.4644,0
2017-11-13,78.0673,78.0673,78.0673,78.0673,0
2017-11-14,78.1326,80.4819,78.1326,79.8338,1316.9996702407
2017-11-15,80.0381,80.1137,78.4644,80.1137,1981.6328653833
2017-11-16,79.1947,79.1947,79.1947,79.1947,0
2017-11-17,77.5676,78.6967,76.2225,78.6967,1122.9624622628
2017-11-20,77.3553,77.3553,77.3553,77.3553,0
2017-11-21,77.3553,77.3553,77.3553,77.3553,0
2017-11-22,77.3553,77.3553,77.3553,77.3553,0
2017-11-23,77.3553,77.3553,77.3553,77.3553,0
2017-11-24,77.3553,77.3553,77.3553,77.3553,0
2017-11-27,79.4777,79.4777,77.5696,77.5696,7197.2191970646
2017-11-28,77.8995,77.8995,77.7918,77.7918,1195.4476261626
2017-11-29,78.4644,78.4644,78.0089,78.0089,1068.319800246
2017-11-30,78.2446,78.2446,78.0089,78.0089,118.20657497503
2017-12-01,78.4644,78.4644,77.7354,77.7354,10234.905142649
2017-12-04,78.5764,78.5764,78.248,78.248,1745.2197154332
2017-12-05,78.4644,78.4644,77.1193,77.1193,657.94225693649
2017-12-06,77.8995,77.9448,77.8995,77.9448,3552.888187457
2017-12-07,77.3479,77.582,77.3479,77.582,2886.024679579
2017-12-08,77.8995,79.5054,77.8995,79.5054,1067.2046438783
2017-12-11,80.0381,80.0381,80.0262,80.0262,555.3478711091
2017-12-12,80.4865,80.6988,80.4865,80.6988,61.333600222893
